cgpa,dsa_score,aptitude_score,communication_score,mock_interview_avg_score,placed
7.91,100.0,57.8,57.5,74.3,1
8.32,85.8,60.3,71.1,54.6,1
9.4,73.5,54.9,76.6,55.6,1
7.25,73.9,67.2,74.0,77.8,1
6.75,77.8,75.6,70.8,47.2,0
6.61,76.4,81.8,65.5,32.2,1
6.68,69.2,69.1,81.1,57.1,0
7.42,66.6,66.2,61.8,51.3,0
7.84,64.1,71.8,82.8,42.6,0
7.78,53.7,60.0,65.0,56.8,0
8.33,60.8,95.1,67.5,68.8,1
7.51,39.6,50.7,60.3,59.8,0
8.95,63.5,72.2,70.0,65.5,0
7.24,50.2,94.3,84.8,92.6,1
10.0,48.4,70.1,80.2,53.8,0
8.13,67.7,67.7,84.8,65.0,1
6.64,85.9,65.7,80.2,50.8,1
6.43,78.8,67.8,64.0,44.8,0
7.98,41.4,86.5,71.7,49.5,0
7.28,50.2,43.5,67.2,51.4,0
8.21,79.1,88.4,88.3,66.5,1
7.97,50.3,52.9,63.0,100.0,1
7.43,61.6,66.8,83.9,47.1,0
6.65,73.3,64.8,83.9,52.5,0
5.99,50.5,77.1,93.3,58.9,1
7.05,66.6,50.8,70.9,67.1,0
8.36,45.0,75.5,82.1,64.7,0
7.71,56.0,94.3,97.8,83.1,1
6.25,69.8,53.6,68.8,16.3,0
7.67,41.1,72.3,59.6,17.0,0
7.89,71.6,62.1,56.2,51.1,0
6.62,64.7,75.1,82.1,79.8,1
7.65,73.3,70.2,56.2,31.8,0
7.56,68.4,62.3,71.3,5.9,0
6.36,85.5,75.9,79.4,70.3,1
7.86,66.9,91.7,76.9,64.4,1
8.06,58.6,67.7,79.3,40.4,0
8.58,66.8,78.6,77.2,42.3,1
8.55,73.1,54.5,87.8,42.5,1
6.12,65.7,58.5,65.5,62.0,1
6.56,65.6,75.7,68.2,48.7,1
8.02,54.5,87.8,67.3,68.9,1
8.01,55.1,74.3,83.3,8.6,0
8.02,44.0,66.2,84.0,44.6,0
10.0,91.2,70.0,79.5,39.7,1
8.07,46.3,55.0,86.8,55.4,0
8.64,54.6,77.3,63.2,50.3,0
8.45,54.2,80.6,91.7,74.4,1
8.15,78.4,64.6,90.2,26.5,1
7.18,60.6,64.4,82.4,60.8,1
8.26,83.7,73.2,92.8,70.1,1
6.73,54.9,64.8,58.4,93.4,1
7.26,69.2,69.2,69.8,51.3,0
7.01,52.5,95.2,67.6,65.8,0
7.58,97.2,67.0,82.2,27.5,0
9.81,47.2,65.7,64.5,16.9,0
5.63,69.6,62.2,82.6,75.2,1
8.19,74.5,78.9,88.7,59.9,1
5.89,71.2,67.8,82.0,81.2,1
7.03,62.2,62.2,77.8,35.3,1
8.59,63.1,85.9,65.1,69.4,1
7.56,65.7,87.0,66.5,93.6,1
6.42,62.8,62.8,87.5,67.6,1
6.78,79.5,47.6,82.8,65.0,1
8.18,98.2,82.1,74.6,60.2,1
6.77,56.6,61.8,70.8,31.7,0
7.72,44.5,79.5,54.7,84.4,1
7.55,63.7,46.4,64.3,49.0,0
6.85,100.0,80.7,94.1,69.1,1
9.64,52.9,55.5,62.2,31.9,0
8.13,89.6,78.8,76.9,38.8,1
5.47,90.2,70.2,85.1,85.8,1
7.69,56.7,58.6,62.5,53.7,1
6.84,73.5,65.1,76.8,86.2,1
8.35,89.4,78.2,84.4,58.6,1
6.71,59.3,71.3,75.1,26.8,0
7.39,61.9,77.0,100.0,76.1,1
8.0,56.3,93.7,58.3,49.4,1
8.37,49.8,51.2,85.6,72.6,1
6.3,55.3,89.4,73.3,60.5,1
7.17,46.6,71.3,82.7,32.2,0
7.03,65.5,59.2,79.4,63.0,0
6.85,53.5,54.0,67.7,99.5,0
9.27,68.5,67.7,77.3,68.9,1
7.9,41.7,81.1,56.4,59.0,0
6.24,70.0,68.5,81.0,79.4,1
8.42,77.5,88.1,78.0,63.8,1
9.62,35.1,52.6,81.4,63.8,0
8.53,70.6,69.9,85.6,40.4,0
5.98,83.4,55.0,78.7,64.2,1
7.02,46.9,74.4,76.5,78.6,0
8.77,90.1,80.6,66.2,45.0,1
6.79,71.3,65.0,67.9,85.6,1
7.94,54.4,38.7,86.9,58.3,0
8.27,64.2,72.4,89.4,44.0,1
6.57,73.4,75.2,72.6,78.0,1
7.44,66.1,74.9,75.5,54.8,0
4.26,73.1,84.8,66.0,73.7,1
6.48,51.2,57.1,86.7,54.7,0
7.25,67.5,78.2,81.7,58.9,1
6.25,43.8,84.3,94.4,68.9,0
9.13,63.3,48.7,66.2,65.2,1
6.07,51.4,73.8,71.2,24.1,0
7.06,54.0,63.9,77.3,39.8,0
7.63,83.5,69.0,81.5,76.7,1
8.94,81.4,74.2,72.8,57.6,1
6.06,74.1,64.2,66.3,50.6,1
8.66,48.6,61.9,83.8,35.5,0
7.51,60.3,70.4,82.2,40.6,0
6.52,83.2,57.0,65.8,23.6,0
7.96,67.1,57.0,88.6,58.2,1
7.7,99.8,78.2,86.7,49.2,1
6.9,70.9,56.2,76.3,42.6,0
7.57,67.9,78.0,75.8,58.8,1
7.11,60.4,75.6,80.5,66.6,1
7.61,67.0,49.3,66.4,97.7,1
8.16,62.7,61.9,75.3,32.8,0
9.09,75.6,84.3,53.5,80.9,1
6.26,79.4,58.2,83.8,77.5,1
9.63,53.2,64.4,59.4,46.0,1
5.55,45.0,75.5,90.0,63.7,0
7.35,37.5,79.4,71.7,51.8,0
8.09,72.6,67.0,72.9,63.3,1
7.78,48.4,62.8,68.7,87.2,0
6.88,32.7,87.1,72.1,70.9,0
7.29,70.8,90.9,89.2,69.2,1
7.01,100.0,81.7,50.1,52.3,1
6.91,64.9,71.0,87.8,33.3,0
8.35,77.6,60.3,78.4,56.2,1
7.86,66.2,60.0,62.9,81.7,1
6.81,63.5,76.3,64.2,32.5,0
8.4,78.8,75.0,91.8,41.0,1
7.81,60.6,86.8,65.5,62.3,1
8.31,69.0,77.8,63.5,42.3,1
8.13,69.8,52.0,86.4,45.7,1
6.67,55.0,82.6,78.4,52.4,0
6.94,79.9,58.0,65.6,35.4,0
8.25,62.4,65.4,77.2,42.5,1
8.11,53.7,73.0,64.7,72.7,1
7.48,73.0,93.9,86.0,36.5,1
7.62,51.5,100.0,85.6,31.2,1
8.78,65.4,77.3,80.3,48.7,1
6.91,64.9,67.8,78.6,73.2,1
8.05,81.3,76.4,92.6,56.5,1
7.3,72.1,80.7,75.0,51.6,0
7.28,64.6,66.2,63.2,60.8,0
8.6,77.3,91.5,79.5,28.6,1
8.33,85.9,72.8,95.9,68.9,1
8.31,73.4,76.0,64.9,66.9,1
8.81,65.2,78.0,71.4,52.6,0
7.52,45.3,75.1,79.2,78.1,0
8.18,49.0,80.1,74.5,39.7,0
7.19,60.4,62.6,65.2,80.3,1
7.82,55.9,63.3,86.2,62.8,0
7.37,62.2,56.8,98.2,53.9,1
7.6,65.8,75.3,77.0,59.6,1
8.1,72.9,79.3,66.0,58.1,0
6.68,63.9,75.5,59.5,82.0,1
9.59,72.3,90.1,77.6,40.6,1
6.49,66.0,69.9,86.0,46.3,0
6.29,35.4,78.0,79.8,78.7,0
8.66,50.9,56.9,75.0,49.3,0
8.29,62.8,65.4,69.1,76.2,1
8.12,46.9,78.3,64.1,90.6,1
8.13,74.0,80.2,83.3,52.8,0
7.49,88.0,66.5,84.1,72.3,1
6.6,83.3,69.1,59.5,39.2,0
7.58,61.8,51.8,90.9,73.6,1
6.82,87.4,65.7,80.7,63.6,1
8.48,67.2,80.7,89.0,68.5,1
7.35,59.9,76.9,61.6,48.4,0
6.67,55.8,76.0,61.3,30.1,0
7.18,60.5,70.6,73.5,69.1,0
7.91,59.2,70.1,80.0,22.9,0
6.94,67.6,62.1,93.0,54.3,1
6.68,67.4,78.4,82.1,76.9,1
7.74,65.0,75.1,72.6,63.5,1
7.74,71.6,75.9,64.7,95.1,1
6.99,82.9,63.7,87.3,78.5,1
7.03,79.2,44.2,65.4,48.2,0
7.73,42.7,83.2,91.3,60.5,1
6.05,26.7,64.3,72.2,59.1,0
6.09,79.0,59.6,90.9,31.5,0
6.78,44.5,78.3,81.8,43.1,0
7.29,61.6,65.3,73.6,49.9,0
7.81,47.4,82.7,69.8,23.3,0
8.98,38.0,77.4,71.6,60.9,0
8.36,73.1,78.2,79.3,55.5,1
7.34,76.4,53.6,75.8,29.9,1
7.48,56.4,84.5,69.1,67.3,0
6.5,26.1,73.1,73.3,72.9,0
7.48,56.8,65.6,75.8,64.1,0
7.21,70.9,71.7,53.7,54.2,0
7.82,42.8,48.7,79.6,70.6,0
6.67,67.8,74.9,65.2,72.2,1
8.02,64.8,57.6,63.5,65.5,1
9.03,73.7,53.8,58.1,45.2,1
7.39,66.8,51.7,57.1,65.0,0
7.9,50.4,83.4,61.4,81.5,0
8.19,82.9,62.4,67.9,49.3,1
7.1,62.6,88.4,94.5,97.8,1
7.72,64.6,63.6,69.7,50.5,1
7.51,51.0,49.5,76.8,60.6,0
7.6,58.4,56.6,79.0,47.9,0
6.73,51.7,84.8,76.3,64.0,1
7.52,62.4,68.1,74.2,28.6,0
8.0,90.7,63.4,63.0,50.2,1
8.95,44.4,71.9,89.5,40.3,0
8.46,40.8,76.0,93.1,62.4,0
9.65,87.1,83.4,58.2,77.9,1
6.73,61.9,87.4,64.8,71.6,1
8.37,55.0,65.7,72.2,17.3,1
7.68,80.6,54.1,65.4,96.8,1
9.69,55.9,65.0,80.1,65.3,1
6.69,92.4,73.1,67.7,46.0,1
6.66,75.2,58.4,96.7,62.8,1
6.9,57.7,58.5,86.9,63.2,0
5.38,97.4,74.1,77.1,48.0,1
6.97,55.9,69.4,85.3,63.6,1
6.74,76.1,70.4,86.1,49.1,1
7.65,69.5,60.9,69.4,52.7,1
7.84,84.5,67.2,66.8,47.6,1
9.38,88.4,58.9,75.8,34.2,0
8.45,65.5,80.7,83.6,62.6,1
6.92,53.7,82.4,76.4,70.5,0
6.6,71.9,47.8,59.2,69.3,0
7.99,54.8,58.8,67.0,74.8,1
6.18,95.2,52.0,74.3,65.8,1
9.33,67.0,62.2,74.2,50.4,1
8.68,59.5,69.0,94.7,75.1,1
7.03,67.8,52.6,61.1,35.6,0
5.79,44.8,58.9,80.1,43.8,0
8.85,50.4,58.0,89.9,42.6,0
7.39,83.0,72.5,97.7,79.4,1
8.74,55.1,70.8,71.0,77.0,1
5.91,49.3,61.3,79.9,68.8,0
6.9,73.0,72.1,80.7,79.3,1
7.51,82.8,63.4,77.0,44.2,1
7.55,75.8,66.7,74.0,66.3,1
7.05,79.9,90.1,79.4,57.7,1
8.12,53.6,86.1,49.7,75.2,1
6.43,43.7,54.4,81.8,57.9,0
7.36,87.5,80.0,76.3,53.1,1
7.62,60.2,79.7,72.8,69.7,1
8.01,61.2,56.2,95.5,75.8,1
8.21,84.9,79.8,68.3,48.0,1
6.38,73.3,88.5,71.0,58.9,1
5.97,71.8,56.5,94.9,40.9,0
8.78,97.5,59.0,66.7,15.0,1
7.83,55.3,82.2,69.5,63.6,0
6.75,78.9,73.3,73.5,71.0,1
9.05,65.9,76.6,83.4,64.7,1
7.62,69.0,74.1,77.1,24.9,0
8.68,87.9,74.7,62.1,53.7,1
7.57,72.6,54.1,69.7,20.1,0
9.56,73.1,82.6,68.9,84.7,1
9.26,81.1,84.0,74.2,40.5,1
7.25,59.5,67.2,79.3,82.6,1
8.47,52.4,69.5,79.2,77.0,1
8.15,49.3,51.6,57.2,43.8,0
8.87,35.5,76.2,85.6,39.6,0
6.54,95.8,76.9,77.5,66.3,1
8.19,48.5,69.3,88.8,44.8,0
8.56,61.7,83.5,79.4,61.8,1
5.74,60.8,66.0,86.0,51.3,0
6.32,69.6,76.8,79.7,27.9,0
5.46,77.2,57.8,88.5,19.9,0
7.23,77.9,69.7,80.2,64.1,1
8.22,56.3,67.9,74.0,49.9,0
9.0,62.5,72.7,97.7,50.0,1
7.57,69.2,65.6,83.9,72.5,1
9.13,61.3,68.4,80.7,81.1,1
6.12,89.1,79.9,62.2,55.1,1
5.8,72.4,64.8,62.1,53.9,1
7.44,76.0,50.7,77.9,69.0,1
7.88,74.9,91.0,76.5,35.6,1
7.47,82.6,86.6,68.9,64.0,1
5.43,67.7,54.5,76.4,69.9,0
7.41,45.5,78.3,90.9,72.2,0
6.2,71.0,64.0,82.0,25.1,0
8.17,55.2,73.2,63.6,46.3,0
7.87,57.1,73.5,73.9,44.2,0
6.56,73.8,67.2,67.0,61.8,1
6.99,83.6,60.6,71.1,68.7,1
6.44,65.3,61.7,70.9,86.9,0
7.44,69.6,59.0,70.2,51.1,0
8.46,90.5,60.0,62.4,51.0,1
6.51,68.6,69.2,73.7,80.7,1
8.0,100.0,61.4,69.4,65.3,1
6.97,73.5,78.2,45.7,82.8,1
6.71,38.6,87.8,95.5,65.2,1
7.39,76.3,63.0,85.9,39.2,0
6.46,70.7,72.9,71.2,36.0,0
6.95,84.3,76.0,75.2,32.1,0
6.3,75.1,75.7,63.3,71.9,1
9.46,62.9,70.9,92.0,81.4,1
7.54,46.6,78.9,94.0,93.3,1
6.8,61.9,75.8,76.6,75.2,1
7.71,52.2,55.1,85.2,80.9,0
7.39,56.3,80.4,76.8,49.6,0
7.28,73.8,80.6,61.6,39.2,0
8.11,90.0,60.8,70.9,75.3,1
8.26,70.9,70.5,76.3,67.5,1
6.97,47.1,78.2,70.5,61.9,0
6.92,71.7,67.5,72.8,67.0,1
7.22,82.9,82.9,74.1,65.8,1
5.2,55.9,98.4,74.2,83.1,1
5.98,63.0,60.6,75.5,83.3,1
8.87,65.2,53.4,64.4,69.8,1
9.14,53.2,73.6,67.8,75.2,1
7.25,74.7,78.7,62.2,69.3,1
8.08,63.2,67.2,84.8,51.7,0
7.81,71.3,87.4,53.9,73.6,1
10.0,51.7,53.9,86.5,34.9,0
8.62,58.4,78.3,88.9,79.0,1
7.37,75.8,62.7,72.0,38.5,1
6.54,59.4,90.6,49.0,65.1,1
5.89,90.9,93.9,71.4,44.8,1
7.7,59.0,60.8,74.4,70.0,1
6.74,68.4,63.4,64.9,59.4,0
6.08,79.0,80.3,69.8,31.3,1
6.85,43.7,65.4,90.3,67.6,0
6.42,38.6,69.5,81.6,49.6,0
9.19,42.1,70.3,65.8,75.9,0
8.38,83.9,47.0,59.0,60.0,1
7.49,56.7,69.8,71.7,67.1,0
8.98,100.0,61.7,72.9,42.8,1
7.58,56.5,64.1,80.0,49.4,0
6.64,67.8,87.3,69.6,51.7,1
9.02,88.1,54.9,80.1,75.4,1
8.04,95.1,79.8,94.4,90.2,1
6.46,95.9,66.7,83.2,45.5,1
7.31,83.1,66.6,74.5,79.4,1
6.62,80.4,79.5,73.2,20.9,0
6.12,73.9,74.1,71.4,38.5,1
8.43,76.7,76.8,86.8,42.7,1
9.41,56.7,81.6,68.7,35.7,0
6.1,52.7,66.0,75.5,31.5,0
8.06,64.9,62.7,75.5,67.4,0
6.85,62.4,57.0,70.0,56.1,0
7.01,58.2,60.1,61.3,66.8,1
6.91,75.4,100.0,78.2,72.4,1
6.64,79.3,84.9,74.4,64.8,0
7.55,66.3,53.8,80.0,71.8,1
6.67,87.2,54.1,69.7,58.7,1
7.77,47.9,75.8,87.2,38.6,0
7.45,62.1,76.6,66.2,79.0,1
7.26,54.2,76.6,92.1,49.4,1
6.59,37.0,66.9,57.5,43.2,0
6.92,63.8,68.5,79.3,56.8,1
8.26,63.2,73.9,79.8,43.6,0
8.0,87.7,71.0,67.0,52.5,1
6.52,74.5,43.4,79.2,66.2,1
7.6,49.6,67.2,87.8,66.3,0
8.25,92.8,59.8,52.8,43.8,0
5.83,83.3,72.1,80.0,51.2,1
8.04,73.7,100.0,50.1,79.3,1
6.84,61.6,74.4,65.3,68.9,1
8.07,50.6,66.2,91.3,97.4,1
6.74,59.4,81.1,69.2,81.2,1
5.7,81.3,75.8,63.3,80.6,1
5.87,93.3,75.0,73.0,35.0,1
7.55,88.1,77.3,95.7,73.7,1
7.76,57.7,94.7,56.7,59.0,1
6.6,48.2,56.4,64.5,50.1,0
8.14,67.1,75.7,90.0,63.0,1
5.84,38.5,58.9,93.6,77.0,0
7.43,69.8,76.7,74.0,69.0,1
6.29,62.8,59.0,62.6,44.2,0
6.85,58.0,65.0,96.0,73.4,1
7.55,41.1,66.5,90.9,48.5,1
6.64,72.7,81.7,81.8,63.9,1
7.12,57.0,81.0,66.9,54.5,0
8.51,47.5,55.1,74.5,56.1,0
6.92,21.9,70.7,73.4,73.8,0
8.34,64.6,61.5,78.3,41.3,1
6.37,91.6,54.9,89.5,95.0,1
8.03,89.9,67.4,83.8,27.2,1
8.94,58.1,66.3,64.2,49.2,0
5.03,56.0,99.1,88.8,66.7,1
6.7,72.0,75.2,78.1,70.5,0
8.08,50.0,53.5,81.9,58.2,1
7.3,69.5,63.2,89.7,59.0,1
7.87,76.5,82.3,63.9,67.4,1
6.9,83.4,95.1,74.6,55.8,1
7.59,63.5,51.0,69.7,85.1,0
7.34,61.9,47.4,59.3,75.1,1
8.67,51.8,92.5,78.5,75.7,1
7.75,52.6,74.7,100.0,42.6,1
7.84,61.6,59.6,56.6,58.6,0
7.09,70.5,76.4,74.7,54.6,0
7.01,78.7,38.4,81.4,41.9,0
7.07,53.0,70.0,76.2,66.5,1
7.89,87.4,73.9,73.9,50.3,1
7.08,60.9,81.1,62.0,71.8,1
7.79,64.7,57.8,77.3,40.7,0
9.58,53.8,71.0,67.4,90.9,1
8.37,28.6,58.9,53.1,43.9,0
7.17,78.3,73.1,86.9,63.9,1
8.7,76.1,59.3,84.6,74.3,1
7.09,60.8,65.1,75.5,49.7,1
5.46,66.0,58.1,77.3,75.3,1
6.49,72.7,77.8,85.7,37.9,1
5.63,41.6,80.3,77.2,86.1,1
7.15,57.1,67.2,84.0,60.3,0
7.52,76.9,70.5,72.0,49.3,1
9.18,46.2,52.6,88.1,54.6,0
7.83,69.4,66.4,78.2,74.6,1
7.28,44.7,69.4,76.9,49.5,0
8.33,72.0,100.0,62.3,46.5,1
5.29,64.5,56.7,77.9,56.0,0
7.74,40.8,87.6,66.7,38.8,0
8.27,82.5,82.0,68.6,92.8,1
6.02,54.0,73.4,66.8,49.8,0
8.64,52.8,91.1,64.3,75.0,1
7.84,68.0,74.5,96.2,63.8,1
7.08,82.2,74.7,88.3,42.3,1
8.13,49.8,69.4,94.2,59.9,1
9.77,65.9,84.7,62.8,74.1,1
7.68,71.4,83.2,75.7,56.6,1
7.75,75.4,62.5,62.1,81.5,1
7.04,67.6,54.2,68.0,78.4,1
6.65,59.5,67.6,65.8,76.5,0
8.33,52.6,60.4,87.4,51.7,1
6.64,66.3,69.2,71.0,40.6,1
7.57,48.9,84.8,85.7,49.0,0
7.02,21.2,64.5,81.0,63.5,0
7.98,71.5,69.5,98.0,69.8,1
7.83,78.6,70.7,60.2,20.9,0
8.54,29.6,80.2,87.6,59.9,0
6.99,49.9,43.0,86.5,62.8,0
7.23,74.3,62.7,65.3,55.0,1
6.52,95.9,72.5,85.1,83.2,1
7.06,65.3,84.4,78.4,67.6,1
7.88,54.1,64.1,72.7,83.6,1
8.26,62.3,47.5,66.8,56.1,0
6.58,85.6,77.4,67.8,76.9,1
8.37,55.3,62.4,95.5,89.4,1
8.86,53.0,55.7,75.0,83.6,1
7.91,57.8,62.5,82.8,40.3,0
9.38,50.7,67.8,67.1,55.4,0
6.73,66.8,62.7,67.2,53.8,0
6.26,89.4,43.5,85.8,68.8,1
5.72,69.8,80.8,61.5,72.4,1
9.0,61.2,85.3,70.8,44.9,1
8.15,60.6,77.8,75.3,61.2,1
7.44,41.6,56.3,76.1,23.6,0
7.78,78.2,67.6,73.2,86.0,1
6.37,63.8,69.9,79.0,50.8,0
9.95,62.3,77.2,81.9,61.0,1
7.63,100.0,78.0,82.3,54.4,1
7.61,69.5,61.2,65.1,80.6,1
8.23,53.7,71.0,72.2,8.9,0
7.98,58.6,75.5,86.9,59.7,1
7.72,82.2,87.5,83.9,58.1,1
6.71,66.7,78.5,61.3,51.8,0
7.97,43.4,79.5,78.5,91.1,0
9.38,78.8,71.0,55.2,44.0,0
8.85,55.0,86.9,75.5,73.9,1
9.09,93.1,74.9,94.0,66.4,1
6.99,81.2,59.7,65.5,82.7,1
6.51,58.3,86.8,66.7,48.0,0
7.37,84.2,78.4,82.6,46.8,1
7.56,66.0,64.7,59.6,79.7,1
8.59,77.8,64.2,68.7,67.7,1
5.81,72.3,73.6,81.0,32.2,0
9.03,52.3,75.6,68.7,50.3,1
7.34,55.3,72.4,72.6,67.0,1
